ProblemName,Seed,T_coefdiving,T_conflictdiving-no-coefdiving,T_conflictdiving-no-coefdiving-no-confs,T_conflictdiving-no-coefdiving-no-sols,T_no-coefdiving,N_coefdiving,N_conflictdiving-no-coefdiving,N_conflictdiving-no-coefdiving-no-confs,N_conflictdiving-no-coefdiving-no-sols,N_no-coefdiving,CoefSols_coefdiving,CoefSols_conflictdiving-no-coefdiving,CoefSols_conflictdiving-no-coefdiving-no-confs,CoefSols_conflictdiving-no-coefdiving-no-sols,CoefSols_no-coefdiving,ConfSols_coefdiving,ConfSols_conflictdiving-no-coefdiving,ConfSols_conflictdiving-no-coefdiving-no-confs,ConfSols_conflictdiving-no-coefdiving-no-sols,ConfSols_no-coefdiving,CoefBestSols_coefdiving,CoefBestSols_conflictdiving-no-coefdiving,CoefBestSols_conflictdiving-no-coefdiving-no-confs,CoefBestSols_conflictdiving-no-coefdiving-no-sols,CoefBestSols_no-coefdiving,ConfBestSols_coefdiving,ConfBestSols_conflictdiving-no-coefdiving,ConfBestSols_conflictdiving-no-coefdiving-no-confs,ConfBestSols_conflictdiving-no-coefdiving-no-sols,ConfBestSols_no-coefdiving,CoefConfs_coefdiving,CoefConfs_conflictdiving-no-coefdiving,CoefConfs_conflictdiving-no-coefdiving-no-confs,CoefConfs_conflictdiving-no-coefdiving-no-sols,CoefConfs_no-coefdiving,ConfConfs_coefdiving,ConfConfs_conflictdiving-no-coefdiving,ConfConfs_conflictdiving-no-coefdiving-no-confs,ConfConfs_conflictdiving-no-coefdiving-no-sols,ConfConfs_no-coefdiving,CoefAvgDepth_coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving-no-confs,CoefAvgDepth_conflictdiving-no-coefdiving-no-sols,CoefAvgDepth_no-coefdiving,ConfAvgDepth_coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving-no-confs,ConfAvgDepth_conflictdiving-no-coefdiving-no-sols,ConfAvgDepth_no-coefdiving,TQ+1_coefdiving,TQ+1_conflictdiving-no-coefdiving,TQ+1_conflictdiving-no-coefdiving-no-confs,TQ+1_conflictdiving-no-coefdiving-no-sols,TQ+1_no-coefdiving,NQ+100_coefdiving,NQ+100_conflictdiving-no-coefdiving,NQ+100_conflictdiving-no-coefdiving-no-confs,NQ+100_conflictdiving-no-coefdiving-no-sols,NQ+100_no-coefdiving
10teams,0,22.8,18.33,23.88,18.25,23.71,395,151,584,151,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,106,0,106,0,343,0,0,0,0,0,65,68,65,0,0.963172804532578,0.782274382840955,1.00687980574666,0.779036827195467,1,1.07843137254902,0.546840958605664,1.49019607843137,0.546840958605664,1
10teams,1,22.47,17.99,22.02,18.36,21.19,867,235,609,235,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,8,0,8,0,90.5,0,0,0,0,0,48,71,48,0,1.05768364127986,0.85579089680036,1.03740423614241,0.872465074357819,1,1.44977511244378,0.502248875562219,1.06296851574213,0.502248875562219,1
10teams,3,4.44,4.45,4.94,4.75,4.44,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00183823529412,1.09191176470588,1.05698529411765,1,1,1,1,1,1
10teams,4,21.18,16.02,18.91,16.42,21.6,404,64,337,64,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,39,0,39,0,70,0,0,0,0,0,94,103,94,0,0.98141592920354,0.753097345132743,0.880973451327433,0.770796460176991,1,0.945590994371482,0.307692307692308,0.819887429643527,0.307692307692308,1
23588,0,5.18,5.67,5.75,5.66,6.04,495,495,495,495,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877840909090909,0.947443181818182,0.958806818181818,0.946022727272727,1,1,1,1,1,1
23588,1,5.64,5.54,6.03,5.78,5.4,535,535,535,535,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0375,1.021875,1.0984375,1.059375,1,1.03420195439739,1.03420195439739,1.03420195439739,1.03420195439739,1
23588,3,6.38,6.4,4.98,6.76,4.58,730,730,336,730,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32258064516129,1.32616487455197,1.07168458781362,1.39068100358423,1,1.90366972477064,1.90366972477064,1,1.90366972477064,1
23588,4,5.4,5.7,6.25,5.94,5.29,563,563,563,563,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01748807631161,1.06518282988871,1.15262321144674,1.1033386327504,1,1,1,1,1,1
30n20b8,0,437.08,308.04,310.76,382.68,502.85,227,124,124,162,403,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,20,0,0,0,0,0,0,0,9,0,210,0,0,0,0,0,18,18,39,0,0.869465118586881,0.61335714994542,0.618755582018458,0.761496477126129,1,0.650099403578529,0.445328031809145,0.445328031809145,0.520874751491054,1
30n20b8,1,321.79,258.46,272.59,258.04,244.12,144,108,190,108,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,16,0,16,0,373.5,0,0,0,0,0,227,113.5,227,0,1.31686520887728,1.05850195822454,1.11614719321149,1.05678851174935,1,1.24489795918367,1.06122448979592,1.47959183673469,1.06122448979592,1
