ProblemName,T_coefdiving,T_conflictdiving-no-coefdiving,T_no-coefdiving,N_coefdiving,N_conflictdiving-no-coefdiving,N_no-coefdiving,CoefSols_coefdiving,CoefSols_conflictdiving-no-coefdiving,CoefSols_no-coefdiving,ConfSols_coefdiving,ConfSols_conflictdiving-no-coefdiving,ConfSols_no-coefdiving,CoefBestSols_coefdiving,CoefBestSols_conflictdiving-no-coefdiving,CoefBestSols_no-coefdiving,ConfBestSols_coefdiving,ConfBestSols_conflictdiving-no-coefdiving,ConfBestSols_no-coefdiving,CoefConfs_coefdiving,CoefConfs_conflictdiving-no-coefdiving,CoefConfs_no-coefdiving,ConfConfs_coefdiving,ConfConfs_conflictdiving-no-coefdiving,ConfConfs_no-coefdiving,CoefAvgDepth_coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving,CoefAvgDepth_no-coefdiving,ConfAvgDepth_coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving,ConfAvgDepth_no-coefdiving,TQ+1_coefdiving,TQ+1_conflictdiving-no-coefdiving,TQ+1_no-coefdiving,NQ+100_coefdiving,NQ+100_conflictdiving-no-coefdiving,NQ+100_no-coefdiving
10teams,22.8,18.33,23.71,395,151,359,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,106,0,343,0,0,0,65,0,0.963172804532578,0.782274382840955,1,1.07843137254902,0.546840958605664,1
10teams,22.47,17.99,21.19,867,235,567,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,8,0,90.5,0,0,0,48,0,1.05768364127986,0.85579089680036,1,1.44977511244378,0.502248875562219,1
10teams,4.44,4.45,4.44,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00183823529412,1,1,1,1
10teams,21.18,16.02,21.6,404,64,433,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,39,0,70,0,0,0,94,0,0.98141592920354,0.753097345132743,1,0.945590994371482,0.307692307692308,1
22433,2.87,3.36,3.35,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889655172413793,1.00229885057471,1,1,1,1
22433,4.24,4.22,4.21,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00575815738964,1.00191938579655,1,1,1,1
22433,2.66,2.62,2.62,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01104972375691,1,1,1,1,1
22433,5.41,5.45,5.37,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,5,0,36,0,0,0,55,0,1.00627943485086,1.01255886970173,1,1,1,1
23588,5.18,5.67,6.04,495,495,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877840909090909,0.947443181818182,1,1,1,1
23588,5.64,5.54,5.4,535,535,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0375,1.021875,1,1.03420195439739,1.03420195439739,1
23588,6.38,6.4,4.58,730,730,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32258064516129,1.32616487455197,1,1.90366972477064,1.90366972477064,1
