ProblemName,T_default,T_farkasdiving,T_farkasdiving-no-confs,T_farkasdiving-no-sols,N_default,N_farkasdiving,N_farkasdiving-no-confs,N_farkasdiving-no-sols,DivingSolsMax_default,DivingSolsMax_farkasdiving,DivingSolsMax_farkasdiving-no-confs,DivingSolsMax_farkasdiving-no-sols,FDSols_default,FDSols_farkasdiving,FDSols_farkasdiving-no-confs,FDSols_farkasdiving-no-sols,DivingBestSolsMax_default,DivingBestSolsMax_farkasdiving,DivingBestSolsMax_farkasdiving-no-confs,DivingBestSolsMax_farkasdiving-no-sols,FDBestSols_default,FDBestSols_farkasdiving,FDBestSols_farkasdiving-no-confs,FDBestSols_farkasdiving-no-sols,DivingConfsMax_default,DivingConfsMax_farkasdiving,DivingConfsMax_farkasdiving-no-confs,DivingConfsMax_farkasdiving-no-sols,FDConfs_default,FDConfs_farkasdiving,FDConfs_farkasdiving-no-confs,FDConfs_farkasdiving-no-sols,TQ+1_default,TQ+1_farkasdiving,TQ+1_farkasdiving-no-confs,TQ+1_farkasdiving-no-sols,NQ+100_default,NQ+100_farkasdiving,NQ+100_farkasdiving-no-confs,NQ+100_farkasdiving-no-sols
Test3,4.23,4.34,4.29,4.34,2,2,2,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.02103250478011,1.01147227533461,1.02103250478011,1,1,1,1
beasleyC3,45.85,41.76,44.44,45.49,378,352,341,438,0,0,0,0,0,122,116,0,0,0,0,0,0,0,0,0,1,14,0,14,0,14,0,14,1,0.912700106723586,0.969903948772679,0.992315901814301,1,0.94560669456067,0.922594142259414,1.1255230125523
beasleyC3,54.14,25.94,39.68,24.93,515,2,38,2,1,0,3,0,0,109,107,0,0,0,0,0,0,0,0,0,5,25,1,22,0,25,0,22,1,0.488574537540805,0.737758433079434,0.470257526296699,1,0.165853658536585,0.224390243902439,0.165853658536585
beasleyC3,44.79,21.82,47.06,26.61,170,2,441,4,0,0,0,0,0,128,125,0,0,0,0,0,0,0,0,0,0,63,0,50,0,63,0,50,1,0.498362087792094,1.04957414282594,0.602970080803669,1,0.377777777777778,2.0037037037037,0.385185185185185
beasleyC3,16.53,19.37,19.78,19.24,2,2,2,2,0,0,0,0,0,39,40,0,0,0,0,0,0,0,0,0,0,8,0,2,0,8,0,2,1,1.16200798630918,1.18539646320593,1.15459212778095,1,1,1,1
bell3a,0.7,1.33,1.16,1.44,2445,4756,4553,4756,15,16,16,16,0,11,11,0,0,0,0,0,0,0,0,0,19,55,16,55,0,1,0,1,1,1.37058823529412,1.27058823529412,1.43529411764706,1,1.90805500982318,1.82829076620825,1.90805500982318
bell3a,0.62,1.52,1.42,1.57,2184,5762,5890,5762,12,16,16,16,0,11,11,0,0,0,0,0,0,0,0,0,27,58,19,58,0,1,0,1,1,1.55555555555556,1.49382716049383,1.58641975308642,1,2.56654991243433,2.62259194395797,2.56654991243433
bell3a,0.83,1.65,1.27,1.63,3116,5707,4673,5707,15,16,16,16,0,11,11,0,0,0,0,0,0,0,0,0,30,57,19,57,0,1,0,1,1,1.44808743169399,1.24043715846995,1.43715846994536,1,1.8056592039801,1.48414179104478,1.8056592039801
bell3a,0.81,1.67,1.44,1.63,2720,5731,5784,5731,15,16,16,16,0,11,11,0,0,0,0,0,0,0,0,0,27,49,18,49,0,1,0,1,1,1.47513812154696,1.34806629834254,1.45303867403315,1,2.0677304964539,2.08652482269504,2.0677304964539
bell5,0.5,0.5,0.5,0.5,444,277,258,379,28,34,25,28,0,17,23,0,0,1,1,0,0,1,1,0,133,65,34,181,0,11,0,35,1,1,1,1,1,0.693014705882353,0.658088235294118,0.880514705882353
