ProblemName,T_default,T_farkasdiving,N_default,N_farkasdiving,DivingSolsMax_default,DivingSolsMax_farkasdiving,FDSols_default,FDSols_farkasdiving,DivingBestSolsMax_default,DivingBestSolsMax_farkasdiving,FDBestSols_default,FDBestSols_farkasdiving,DivingConfsMax_default,DivingConfsMax_farkasdiving,FDConfs_default,FDConfs_farkasdiving,TQ+1_default,TQ+1_farkasdiving,NQ+100_default,NQ+100_farkasdiving
10teams,17.27,15.01,395,152,0,0,0,0,0,0,0,0,136,16,0,0,1,0.876299945265462,1,0.509090909090909
10teams,17.04,18.77,867,927,0,0,0,0,0,0,0,0,209,123,0,0,1,1.09589800443459,1,1.06204756980352
10teams,3.36,4.09,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1.16743119266055,1,1
10teams,16.01,14.8,404,187,0,0,0,0,0,0,0,0,64,101,0,0,1,0.928865373309817,1,0.569444444444444
22433,2.16,2.13,3,3,0,0,0,0,0,0,0,0,0,2,0,2,1,0.990506329113924,1,1
22433,3.15,3.27,4,4,0,0,0,0,0,0,0,0,0,2,0,2,1,1.0289156626506,1,1
22433,1.92,1.93,3,3,0,0,0,0,0,0,0,0,0,4,0,4,1,1.00342465753425,1,1
22433,4.06,4.67,26,33,0,0,0,0,0,0,0,0,32,120,0,5,1,1.12055335968379,1,1.05555555555556
23588,3.99,3.93,495,495,0,0,0,0,0,0,0,0,0,0,0,0,1,0.987975951903808,1,1
23588,4.18,3.89,535,514,0,0,0,0,0,0,0,0,0,0,0,0,1,0.944015444015444,1,0.966929133858268
23588,4.83,4.07,730,457,0,0,0,0,0,0,0,0,0,0,0,0,1,0.869639794168096,1,0.671084337349397
23588,3.99,4.07,563,563,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01603206412826,1,1
30n20b8,340.5,161.68,227,181,2,0,0,0,2,0,0,0,30,5,0,1,1,0.476368960468521,1,0.859327217125382
30n20b8,249.12,241.17,144,131,2,1,0,0,2,1,0,0,16,28,0,1,1,0.968215256676795,1,0.94672131147541
30n20b8,221.49,372.21,174,405,1,2,0,0,1,1,0,0,38,83,0,1,1,1.67742370443615,1,1.84306569343066
30n20b8,547.76,519.74,331,540,1,1,0,0,2,1,0,0,66,121,0,1,1,0.948939427071944,1,1.48491879350348
Test3,4.24,5.35,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2118320610687,1,1
Test3,4.2,5.28,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.20769230769231,1,1
Test3,4.23,4.34,2,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1.02103250478011,1,1
Test3,3.8,4.97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.24375,1,1
a1c1s1,7200,7200,203191,188432,6,2,0,1,6,2,0,1,19,57,0,57,1,1,1,0.927399638941222
a1c1s1,7200,7200,205820,242015,0,2,0,0,11,2,0,0,12,52,0,52,1,1,1,1.17577214452214
a1c1s1,7200,7200,222398,199956,0,0,0,0,2,12,0,0,22,27,0,27,1,1,1,0.899136172010535
a1c1s1,7200,7200,189340,181197,4,0,0,0,1,3,0,0,14,19,0,19,1,1,1,0.957015413851351
acc-tight5,101.89,101.71,744,744,0,0,0,0,0,0,0,0,257,257,0,0,1,0.998250558849256,1,1
acc-tight5,49.41,49.23,159,159,0,0,0,0,0,0,0,0,58,58,0,0,1,0.996429279904781,1,1
acc-tight5,156.63,157.76,1168,1168,0,0,0,0,0,0,0,0,276,276,0,0,1,1.0071686861638,1,1
acc-tight5,93.91,93.89,645,645,0,0,0,0,0,0,0,0,199,199,0,0,1,0.999789274049099,1,1
aflow30a,21.13,21.45,873,463,0,0,0,0,0,0,0,0,0,11,0,11,1,1.01446000903751,1,0.578622816032888
aflow30a,18.03,13.39,503,486,0,0,0,0,0,0,0,0,0,2,0,2,1,0.756174461376773,1,0.971807628524046
aflow30a,19.58,19.09,582,560,0,0,0,0,0,0,0,0,0,2,0,2,1,0.976190476190476,1,0.967741935483871
aflow30a,13.67,16.65,715,636,0,0,0,0,0,0,0,0,0,2,0,2,1,1.20313565098841,1,0.903067484662577
aflow40b,704.7,485.49,24637,16932,0,0,0,0,0,0,0,0,111,176,0,10,1,0.689372254499079,1,0.688523264745119
aflow40b,567.41,511.81,19980,15291,0,0,0,0,0,0,0,0,133,157,0,10,1,0.902183283193469,1,0.76648406374502
aflow40b,543.12,593.42,22701,25469,0,0,0,0,0,0,0,0,99,135,0,10,1,1.09244284349041,1,1.12139818429016
aflow40b,378.71,260.18,9715,11525,0,0,0,0,0,0,0,0,130,104,0,8,1,0.687840720549893,1,1.18441161487519
air03,1.75,1.7,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0.981818181818182,1,1
air03,1.71,1.7,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0.996309963099631,1,1
air03,1.75,1.76,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1.00363636363636,1,1
air03,1.76,1.71,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0.981884057971014,1,1
air04,39.64,47.32,110,91,0,0,0,0,0,0,0,0,0,0,0,0,1,1.18897637795276,1,0.90952380952381
air04,49.27,60.46,192,289,0,0,0,0,0,0,0,0,15,12,0,0,1,1.22259797095683,1,1.33219178082192
air04,38.34,48.96,107,211,0,0,0,0,0,0,0,0,6,14,0,0,1,1.26995424504321,1,1.5024154589372
air04,58.58,49.75,315,204,0,0,0,0,0,0,0,0,4,0,0,0,1,0.851795904665995,1,0.732530120481928
air05,36.56,26.78,798,364,0,0,0,0,0,0,0,0,4,0,0,0,1,0.73961661341853,1,0.516703786191537
air05,35.5,29.32,743,378,0,0,0,0,0,0,0,0,0,0,0,0,1,0.830684931506849,1,0.567022538552788
air05,26.98,24.64,422,249,0,0,0,0,0,0,0,0,0,0,0,0,1,0.916368834882059,1,0.668582375478927
air05,23.33,32.3,160,503,0,0,0,0,0,0,0,0,0,0,0,0,1,1.36868064118372,1,2.31923076923077
aligninq,31.31,35.11,3320,3699,0,0,0,0,0,0,0,0,2475,937,0,0,1,1.11761064685856,1,1.11081871345029
aligninq,27.55,33.04,2875,22,0,0,0,0,0,0,0,0,1783,0,0,0,1,1.1922942206655,1,0.041008403361345
aligninq,22.01,26.68,1700,2731,0,0,0,0,0,0,0,0,1726,1951,0,0,1,1.20295523685354,1,1.57277777777778
aligninq,28.58,15.42,3044,569,0,0,0,0,0,0,0,0,834,407,0,0,1,0.555104800540906,1,0.212786259541985
app1-2,811.69,614.05,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0.756807638829074,1,1
app1-2,721.53,545.76,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0.756729824367154,1,1
app1-2,1004.06,803.09,42,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0.800041788549937,1,1
app1-2,848.25,631.76,20,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0.74508095378275,1,1
arki001,7200,7200,1201140,1201509,0,0,0,0,0,0,0,0,69,69,0,0,1,1,1,1.000307182578
arki001,7200,7200,1211984,1217612,1,1,0,0,1,1,0,0,222,222,0,0,1,1,1,1.00464324254755
arki001,7200,7200,1092636,1093059,0,0,0,0,0,0,0,0,112,112,0,0,1,1,1,1.00038710173363
arki001,7200,7200,1271142,1274901,1,1,0,0,2,2,0,0,102,102,0,0,1,1,1,1.00295695076154
ash608gpia-3col,32.16,31.93,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.993063932448734,1,1
ash608gpia-3col,26.94,26.89,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.998210450966356,1,1
ash608gpia-3col,17.71,17.89,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00962052378407,1,1
ash608gpia-3col,26.33,26.32,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.999634101719722,1,1
atlanta-ip,7200,7200,15522,16380,0,0,0,0,0,0,0,0,2687,4584,0,30,1,1,1,1.05492254512866
